Time,ID,Lat,Lon,Alt,#WiFi networks,SSID1,MAC1,Frequancy1,Signal1,SSID2,MAC2,Frequancy2,Signal2,SSID3,MAC3,Frequancy3,Signal3,SSID4,MAC4,Frequancy4,Signal4,SSID5,MAC5,Frequancy5,Signal5,SSID6,MAC6,Frequancy6,Signal6,SSID7,MAC7,Frequancy7,Signal7,SSID8,MAC8,Frequancy8,Signal8,SSID9,MAC9,Frequancy9,Signal9,SSID10,MAC10,Frequancy10,Signal10
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.10320935,35.20956284,705.5577683,3,1c:b9:c4:15:ed:b8,IT-MNG,1,-81,8c:0c:90:ae:16:83, ,11,-86,1c:b9:c4:16:ed:3c,Ariel_University,44,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.10360082,35.20922988,698.6750114,8,1c:b9:c4:15:ed:b8,IT-MNG,1,-73,1c:b9:c4:15:ed:bc,IT-MNG,48,-79,1c:b9:c4:96:ed:47, ,36,-80,1c:b9:c4:16:e5:a8,Ariel_University,6,-85,8c:0c:90:6e:16:88, ,11,-87,1c:b9:c4:95:1c:b7, ,36,-88,1c:b9:c4:16:28:ec,Ariel_University,36,-88,1c:b9:c4:96:28:e7, ,36,-89,,,,,,,,
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.10394999,35.20917174,701.9726525,7,1c:b9:c4:16:ed:48,Ariel_University,6,-57,1c:b9:c4:15:ed:bc,IT-MNG,48,-65,1c:b9:c4:95:ed:b7, ,48,-65,1c:b9:c4:16:ed:4c,Ariel_University,36,-68,1c:b9:c4:15:ed:b8,IT-MNG,1,-68,1c:b9:c4:16:28:e8,Ariel_University,1,-88,8c:0c:90:2e:16:88,Ariel_University,11,-89,,,,,,,,,,,,
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.1034255,35.20978696,702,1,1c:b9:c4:15:ed:bc,IT-MNG,48,-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.10369608,35.20910016,700.1060635,2,8c:0c:90:2e:16:88,Ariel_University,11,-80,8c:0c:90:6e:16:88, ,11,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.10369281,35.20888244,704.1368202,6,8c:0c:90:ae:16:83, ,11,-69,1c:b9:c4:15:1c:b8,Ariel_University,1,-70,8c:0c:90:2e:16:88,Ariel_University,11,-70,8c:0c:90:6e:16:88, ,11,-71,1c:b9:c4:15:1c:bc,Ariel_University,36,-77,30:e1:71:0d:e0:63,DIRECT-61-HP DeskJet 3630 series,6,-80,,,,,,,,,,,,,,,,
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.10342936,35.20978782,703.7913587,4,30:e1:71:0d:e0:63,DIRECT-61-HP DeskJet 3630 series,6,-69,1c:b9:c4:95:1c:b7, ,36,-82,1c:b9:c4:14:2b:8c,Ariel_University,44,-88,c0:4a:00:71:ee:ee,Onicom,9,-90,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.10362052,35.2089171,692.3149935,5,30:e1:71:0d:e0:63,DIRECT-61-HP DeskJet 3630 series,6,-62,8c:0c:90:6e:16:88, ,11,-65,1c:b9:c4:16:e5:ac,Ariel_University,36,-83,1c:b9:c4:16:28:ec,Ariel_University,36,-83,1c:b9:c4:96:28:e7, ,36,-84,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.1037281,35.20956654,700.1157629,2,8c:0c:90:2e:16:88,Ariel_University,11,-64,1c:b9:c4:96:e5:a7, ,36,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10337555,35.20979218,703.2908492,6,8c:0c:90:ae:16:83, ,11,-64,1c:b9:c4:16:e5:a8,Ariel_University,6,-78,1c:b9:c4:14:2b:8c,Ariel_University,44,-82,1c:b9:c4:94:2b:87, ,44,-83,1c:b9:c4:96:f1:57, ,52,-87,1c:b9:c4:16:f1:5c,Ariel_University,52,-87,,,,,,,,,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10294917,35.20875548,702.6599088,2,40:a5:ef:7a:17:f2,2.4V1,1,-88,14:ae:db:58:0d:6d,__ery,11,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10381662,35.20891447,703.4076976,4,1c:b9:c4:16:28:e8,Ariel_University,1,-79,ec:8c:a2:26:d3:68,Ariel_University,11,-87,1c:b9:c4:16:12:e8,Ariel_University,1,-90,1c:b9:c4:16:13:08,Ariel_University,11,-90,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10352409,35.20815291,694.280406,3,8c:0c:90:2e:16:88,Ariel_University,11,-58,8c:0c:90:6e:16:88, ,11,-60,00:25:86:cc:00:f8,AUC_54_R,5,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10381208,35.20818095,697.3058759,3,8c:0c:90:ae:16:83, ,11,-59,00:25:86:cc:00:f8,AUC_54_R,5,-84,00:25:86:cc:07:b2,KCG_54,2,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.1040345,35.20899761,700.6224042,2,78:11:dc:1a:cf:d0,TamiRacheli,8,-89,00:02:6f:b8:c4:1a, ,11,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10453983,35.20895149,691.1593302,3,1c:b9:c4:16:1d:7c,Ariel_University,44,-61,1c:b9:c4:15:fd:4c,Ariel_University,36,-77,ec:8c:a2:26:d2:c8,Ariel_University,11,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10396426,35.20917738,697.0445356,2,10:0d:7f:99:32:5e,Bezeq-n_325E,11,-75,ec:8c:a2:26:d3:68,Ariel_University,11,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10435399,35.20917566,696.6039339,3,ec:8c:a2:26:d3:68,Ariel_University,11,-73,24:c9:a1:35:a5:e8,Ariel_University,6,-89,1c:b9:c4:16:05:38,Ariel_University,11,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10422085,35.20923384,704.5755506,6,1c:b9:c4:16:05:38,Ariel_University,11,-81,1c:b9:c4:16:cc:dc,Ariel_University,36,-82,1c:b9:c4:96:cc:d7, ,36,-84,b2:6c:ac:a0:3d:eb,sinusafe,3,-85,1c:b9:c4:15:23:58,Ariel_University,6,-85,00:02:6f:8e:64:67, ,1,-88,,,,,,,,,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.1043019,35.2094626,692.2507244,4,00:27:22:f3:bb:2b, ,6,-67,a2:6c:ac:a0:3d:eb,giftwizard,3,-86,1c:b9:c4:15:23:5c,Ariel_University,36,-88,c4:12:f5:fd:6a:74,mati-sh1,9,-90,,,,,,,,,,,,,,,,,,,,,,,,
