MAC, ,myLon,myLat,myAlt, , ,DiffLon,DiffLat,DiffAlt, , ,Lon,Lat,Alt
b2:6c:ac:9f:f1:c5, ,35.209501435511775,32.104399074436365,720.952261187317, , ,5.511772371846746E-9,4.436365941273834E-9,1.2682903616223484E-8, , ,35.20950143,32.10439907,720.9522612
b2:6c:ac:a0:7b:4d, ,35.20999833428048,32.1047321261192,694.966256654836, , ,7.637428047502226E-5,3.103611920352023E-5,8.100638445164009, , ,35.20992196,32.10470109,703.0668951
d8:fe:e3:03:5a:31, ,35.20730738013259,32.10253058645726,699.7521498326602, , ,1.325872744928347E-10,3.542737658790429E-9,3.2660182114341296E-8, , ,35.20730738,32.10253059,699.7521498
3c:52:82:ef:c4:3c, ,35.20972712999356,32.10311265812311,698.4515190341033, , ,6.437517185986508E-12,1.876891531082947E-9,3.410332283237949E-8, , ,35.20972713,32.10311266,698.451519
d0:d4:12:68:5b:ca, ,35.20993739,32.1020859,692.0, , ,0.0,0.0,0.0, , ,35.20993739,32.1020859,692
06:ae:db:3a:64:05, ,35.20743113,32.10245839,694.8881938, , ,0.0,0.0,0.0, , ,35.20743113,32.10245839,694.8881938
00:27:19:e3:2d:fe, ,35.20726399,32.1025333,699.2877605, , ,0.0,0.0,0.0, , ,35.20726399,32.1025333,699.2877605
14:ae:db:cb:05:f5, ,35.20743113,32.10245839,694.8881938, , ,0.0,0.0,0.0, , ,35.20743113,32.10245839,694.8881938
84:c9:b2:b7:c8:2d, ,35.209972506421316,32.10258120577669,698.0276205441357, , ,3.5786840157925326E-9,4.223309701956168E-9,5.5864234127511736E-8, , ,35.20997251,32.10258121,698.0276206
a0:8c:fd:0a:d5:f5, ,35.209192759869815,32.102132338236856,694.8823931244858, , ,1.3018564004596556E-10,1.7631407445151126E-9,2.448587110848166E-8, , ,35.20919276,32.10213234,694.8823931
58:70:c6:fb:68:7a, ,35.20927747,32.10436268,692.9954485, , ,0.0,0.0,0.0, , ,35.20927747,32.10436268,692.9954485
f8:a9:d0:66:06:4d, ,35.20975997,32.10572051,688.5550301, , ,0.0,0.0,0.0, , ,35.20975997,32.10572051,688.5550301
10:0d:7f:7c:90:0a, ,35.20993739,32.1020859,692.0, , ,0.0,0.0,0.0, , ,35.20993739,32.1020859,692
d0:0f:6d:f1:35:2f, ,35.20734901,32.10251814,698.9056862, , ,0.0,0.0,0.0, , ,35.20734901,32.10251814,698.9056862
b2:6c:ac:a0:3d:eb, ,35.20907040239197,32.10346931305368,695.8661582471786, , ,2.3919710656628013E-9,3.0536781991941098E-9,5.282140591589268E-8, , ,35.2090704,32.10346931,695.8661583
00:1a:dd:f4:ef:04, ,35.2105515372934,32.10596257203692,688.682501700329, , ,2.7065993890573736E-9,2.036919966030837E-9,3.290097083663568E-10, , ,35.21055154,32.10596257,688.6825017
14:ae:db:58:0d:6d, ,35.20759021,32.10258799,693.1085203, , ,0.0,0.0,0.0, , ,35.20759021,32.10258799,693.1085203
a0:4f:d4:46:a9:e1, ,35.20776622,32.10325457,690.8153989, , ,0.0,0.0,0.0, , ,35.20776622,32.10325457,690.8153989
a2:6c:ac:9f:fb:1f, ,35.209879863592626,32.10466326000542,695.4692734599969, , ,3.5926248642681458E-9,5.4143356464919634E-12,4.0003101275942754E-8, , ,35.20987986,32.10466326,695.4692735
00:1a:dd:f4:fc:85, ,35.21194839,32.10621149,689.2763253, , ,9.188900000012268E-4,4.0537999999656904E-4,1.1014355000000933, , ,35.2110295,32.10580611,688.1748898
14:ae:db:43:88:35, ,35.20733918,32.10251582,697.9931738, , ,0.0,0.0,0.0, , ,35.20733918,32.10251582,697.9931738
a2:6c:ac:a0:18:29, ,35.20929375497552,32.10366632378877,689.799384339594, , ,5.024482163662469E-9,3.788770186474721E-9,3.959394234698266E-8, , ,35.20929376,32.10366632,689.7993843
14:ae:db:32:52:12, ,35.20726399,32.1025333,699.2877605, , ,0.0,0.0,0.0, , ,35.20726399,32.1025333,699.2877605
f8:e7:1e:33:87:38, ,35.21194839,32.10621149,689.2763253, , ,6.173999999958824E-5,2.1483999999816206E-4,0.6280108999999356, , ,35.21201013,32.10599665,689.9043362
fc:3f:db:9c:36:3d, ,35.20947285972674,32.10206173092713,700.4320999661207, , ,2.7326052531861933E-10,9.271303724744939E-10,3.3879246075230185E-8, , ,35.20947286,32.10206173,700.4321
ec:8c:a2:26:d3:68, ,35.209135169998696,32.10420319832837,697.0099932723518, , ,4.945600013073204E-4,6.271983283738791E-4,1.8504840723518328, , ,35.20962973,32.103576,695.1595092
00:0d:f0:3e:fa:ca, ,35.21106968,32.10608928,688.7624378, , ,0.0,0.0,0.0, , ,35.21106968,32.10608928,688.7624378
a2:6c:ac:a0:60:4d, ,35.2094596585698,32.10429525881002,689.2506394283968, , ,4.4741430201611365E-5,6.367118997729904E-5,7.263540671603209, , ,35.2095044,32.10435893,696.5141801
a0:8c:fd:8c:79:6f, ,35.209562647521544,32.10451023949214,690.9289640792248, , ,2.4784583274595207E-9,5.078604203845316E-10,2.0775246412085835E-8, , ,35.20956265,32.10451024,690.9289641
3c:1e:04:05:5f:f5, ,35.21140688661445,32.1042776881354,701.7264123799245, , ,3.3855513947855798E-9,1.864606247181655E-9,2.0075503925909288E-8, , ,35.21140689,32.10427769,701.7264124
b2:6c:ac:9f:fb:1f, ,35.20974686625808,32.10460470221629,695.4591440454994, , ,3.7419169984787E-9,2.2162893742461165E-9,4.5499405132432E-8, , ,35.20974687,32.1046047,695.459144
a0:ab:1b:60:b4:ca, ,35.209175811335484,32.10231850810012,691.9385187753959, , ,1.335486388143181E-9,1.899884694012144E-9,2.460410541971214E-8, , ,35.20917581,32.10231851,691.9385188
b0:48:7a:a1:80:8c, ,35.20734901,32.10251814,698.9056862, , ,0.0,0.0,0.0, , ,35.20734901,32.10251814,698.9056862
10:be:f5:3b:68:2c, ,35.2073457,32.10252819,700.1622739, , ,0.0,0.0,0.0, , ,35.2073457,32.10252819,700.1622739
62:ab:1b:60:b4:cb, ,35.209414067717,32.10229150094076,696.4982250250949, , ,2.2830022317066323E-9,9.407585821463726E-10,2.5094891498156358E-8, , ,35.20941407,32.1022915,696.498225
ec:8c:a2:88:7a:17, ,35.2078243035797,32.10375939452498,690.4413487881285, , ,0.0010173864203011362,2.3371452498111012E-4,6.448257611871554, , ,35.20884169,32.10352568,696.8896064
