Time,Lon,Lat,Alt,MAC,Signal,ID,Channel
03/12/2017 08:53,35.209501435511775,32.104399074436365,720.952261187317,b2:6c:ac:9f:f1:c5,-82,paysday,2
03/12/2017 09:03,35.20972712999356,32.10311265812311,698.4515190341033,3c:52:82:ef:c4:3c,-61,DIRECT-3B-HP DeskJet 3630 series,6
03/12/2017 09:07,35.210056997974235,32.10360044915835,698.72256910716,1c:b9:c4:16:e5:a8,-76,Ariel_University,6
03/12/2017 08:45,35.20879533000001,32.1035812,702.3207686500001,1c:b9:c4:16:12:e8,-90,Ariel_University,1
03/12/2017 08:41,35.208757334046894,32.10304417966708,700.4360586053886,ec:8c:a2:88:94:17,-72, ,44
03/12/2017 08:37,35.20743113,32.10245839,694.8881938,06:ae:db:3a:64:05,-84,BezeqFree,1
03/12/2017 09:03,35.209736120121825,32.10308589801684,702.6688538703775,1c:b9:c4:16:ed:3c,-71,Ariel_University,44
03/12/2017 08:47,35.21117844897863,32.104232360831354,704.2993113790975,1c:b9:c4:14:36:fc,-84,Ariel_University,36
03/12/2017 08:37,35.20734901,32.10251814,698.9056862,d0:0f:6d:f1:35:2f,-85,Sveta,4
03/12/2017 08:37,35.20781816162754,32.103779866801545,690.4231966181052,ec:8c:a2:88:a9:27,-81, ,44
03/12/2017 08:38,35.2078167111954,32.10361868641025,690.5070725832499,ec:8c:a2:08:a9:28,-71,Ariel_University,11
03/12/2017 08:41,35.20957634167495,32.10204919904429,691.331833627447,1c:b9:c4:15:3a:3c,-82,Ariel_University,44
03/12/2017 08:58,35.20907040239197,32.10346931305368,695.8661582471786,b2:6c:ac:a0:3d:eb,-72,sinusafe,3
03/12/2017 08:38,35.207831805206744,32.10376648205501,690.3776745990665,ec:8c:a2:08:a9:2c,-81,Ariel_University,44
03/12/2017 08:54,35.20927735903117,32.10227173765646,704.3875712171651,1c:b9:c4:16:04:7c,-81,Ariel_University,60
03/12/2017 08:37,35.20759021,32.10258799,693.1085203,14:ae:db:58:0d:6d,-91,__ery,11
03/12/2017 09:05,35.210106877769974,32.10362650887116,701.6270681495837,1c:b9:c4:16:ed:48,-81,Ariel_University,6
03/12/2017 08:39,35.21194839,32.10621149,689.2763253,00:1a:dd:f4:fc:85,-78,Afikim_Wifi,8
03/12/2017 08:50,35.20894168580295,32.102889789628655,691.8273694809354,ec:8c:a2:08:94:18,-60,Ariel_University,1
03/12/2017 08:37,35.2075361737085,32.10276969128207,695.1730814227403,ec:8c:a2:08:a9:38,-81,Ariel_University,6
03/12/2017 08:39,35.21194839,32.10621149,689.2763253,f8:e7:1e:33:87:38,-86,Police_Shomron ,1
03/12/2017 08:39,35.21194839,32.10621149,689.2763253,00:1a:dd:f4:fc:84,-77, ,8
03/12/2017 08:37,35.20776622,32.10325457,690.8153989,ec:8c:a2:88:a9:37,-81, ,36
03/12/2017 08:40,35.2094596585698,32.10429525881002,689.2506394283968,a2:6c:ac:a0:60:4d,-72,incentive2,1
03/12/2017 08:44,35.21109434120773,32.10502885271464,701.1902730002984,1c:b9:c4:14:2b:c8,-69,Ariel_University,6
03/12/2017 08:50,35.20974686625808,32.10460470221629,695.4591440454994,b2:6c:ac:9f:fb:1f,-69,iagree,1
03/12/2017 08:37,35.207673273278694,32.102945224590165,691.0835484311476,ec:8c:a2:08:a9:3c,-75,Ariel_University,36
03/12/2017 08:46,35.20879683454608,32.102713634576105,697.5388366665069,1c:b9:c4:14:2f:68,-67,Ariel_University,6
03/12/2017 08:45,35.21099027008268,32.10488923240427,704.6990103343725,1c:b9:c4:16:05:7c,-89,Ariel_University,36
03/12/2017 08:50,35.209267380823434,32.10227804749559,697.3514191571016,1c:b9:c4:94:2b:d7,-78, ,36
03/12/2017 09:04,35.20978332241179,32.10285315404422,703.7357989588476,00:1d:aa:81:d8:3c,-64,KCG-ADSL,3
03/12/2017 08:41,35.20958211,32.10199116,691.3292747,1c:b9:c4:95:43:e7,-90, ,36
03/12/2017 08:53,35.20969929955878,32.10456879065022,704.3331469515239,a2:6c:ac:a0:60:55,-82,incentive2,36
03/12/2017 08:41,35.20928225112237,32.10489300750747,690.7435731246444,b2:6c:ac:9f:fb:27,-89,iagree,36
03/12/2017 08:38,35.20792964,32.10461272,689.6670161,ec:8c:a2:08:92:48,-85,Ariel_University,6
03/12/2017 08:41,35.20894494,32.1040793,693.2106003,1c:b9:c4:15:23:5c,-91,Ariel_University,36
03/12/2017 08:49,35.21000489,32.10473133,687.0,58:70:c6:fb:96:30,-88,YICarCam_fb9630,5
03/12/2017 08:42,35.20981183,32.10360555,696.984537,1c:b9:c4:16:e5:ac,-88,Ariel_University,36
03/12/2017 08:40,35.210993686209285,32.10493454843041,688.9904963231984,ec:8c:a2:08:79:88,-88,Ariel_University,1
03/12/2017 08:46,35.20907080938333,32.10240543882769,700.5464770235718,1c:b9:c4:15:43:e8,-75,Ariel_University,1
03/12/2017 08:58,35.20935115197277,32.10239321546526,693.5101064782679,1c:b9:c4:14:2b:d8,-63,Ariel_University,1
03/12/2017 08:38,35.20792964,32.10461272,689.6670161,ec:8c:a2:08:92:4c,-88,Ariel_University,36
03/12/2017 08:51,35.21082446,32.10413713,704.7212452,c8:be:19:07:77:b9,-88,Bezeq-N_0777b8,11
03/12/2017 08:44,35.21103245132743,32.10502713176991,700.7822284442477,1c:b9:c4:94:2b:c7,-80, ,36
03/12/2017 08:53,35.20992463314879,32.10469340120761,706.1602376529412,8c:0c:90:6f:36:58,-74, ,1
03/12/2017 08:45,35.20996993102034,32.104756095880944,699.1416431451049,8c:0c:90:2f:36:58,-71,Ariel_University,1
03/12/2017 08:58,35.20922846441232,32.10363544401333,699.7314089375785,90:6c:ac:a0:3d:eb,-73,Guest,3
03/12/2017 08:46,35.20978021,32.10338816,713.0579803,1c:b9:c4:15:1c:bc,-90,Ariel_University,36
03/12/2017 08:39,35.21181344661473,32.105200955111236,694.518761713327,00:27:19:13:fc:a4,-85,KCG_20,11
03/12/2017 09:06,35.21016707,32.10381301,708.0,24:79:2a:2b:02:78,-80,Ariel_University,6
03/12/2017 08:50,35.20878314,32.10293474,707.529971,1c:b9:c4:94:2f:67,-84, ,36
03/12/2017 08:50,35.209843676588626,32.10465458375801,695.986414273147,d0:bf:9c:db:31:30,-73,HP-Print-30-Officejet 7610,6
03/12/2017 08:37,35.20769755,32.1029743,690.9460551,ec:8c:a2:09:93:b8,-90,Ariel_University,11
03/12/2017 08:49,35.21145722437702,32.105071233211646,693.5785828160674,24:79:2a:2b:34:e8,-90,Ariel_University,1
03/12/2017 08:41,35.20894494,32.1040793,693.2106003,1c:b9:c4:95:23:57,-92, ,36
03/12/2017 08:42,35.21124745,32.10490479,697.4311692,1c:b9:c4:96:05:77,-90, ,36
03/12/2017 08:45,35.21030982040517,32.10471077530213,700.7059114755501,1c:b9:c4:16:05:78,-78,Ariel_University,6
03/12/2017 08:50,35.20912685166417,32.10405246906294,689.9727887050459,1c:b9:c4:15:23:58,-78,Ariel_University,6
03/12/2017 08:46,35.20929027070707,32.10218764382711,694.1649424249407,3c:52:82:ef:d4:56,-73,DIRECT-55-HP DeskJet 3630 series,6
03/12/2017 09:01,35.2096084,32.10300921,701.0,e4:95:6e:40:87:1a,-20,OOP_course,1
03/12/2017 08:46,35.209224656260695,32.1022578870186,693.8738864606572,1c:b9:c4:16:f1:48,-73,Ariel_University,1
03/12/2017 09:06,35.209908177216754,32.103607023662725,700.2261390593166,3c:52:82:ef:d4:52,-72,DIRECT-51-HP DeskJet 3630 series,6
03/12/2017 08:45,35.209924426299224,32.10468953639806,687.646258204214,90:6c:ac:a0:7b:4d,-64,EVE,11
03/12/2017 08:39,35.21192983,32.10544864,691.5885471,1c:b9:c4:96:cd:17,-89, ,36
03/12/2017 08:46,35.209260065,32.10215532,703.3361961,1c:b9:c4:96:f1:47,-83, ,36
03/12/2017 08:49,35.21085266476272,32.10487689111306,693.1063547280278,00:11:6b:11:7e:0c,-87,yosh,1
03/12/2017 08:45,35.21005988,32.10474846,687.0,70:5a:0f:57:04:17,-84,DIRECT-B1-HP DeskJet 3830 series,11
03/12/2017 08:45,35.20956252510098,32.103726673881965,700.1139500119295,8c:0c:90:2e:16:88,-78,Ariel_University,11
03/12/2017 08:51,35.21062416851403,32.104250808788095,694.768263501896,24:79:2a:2b:24:98,-81,Ariel_University,1
03/12/2017 08:38,35.20781292,32.10353355,690.579513,00:27:22:f3:bb:3a,-86, ,6
03/12/2017 09:03,35.20969269662513,32.10298530552546,701.7019224858896,1c:b9:c4:14:30:3c,-80,Ariel_University,44
03/12/2017 08:38,35.20788087,32.10441405,689.9496965,84:c9:b2:4a:e7:87,-86,dlink,2
03/12/2017 08:37,35.20733873,32.10251744,695.5775666,00:8c:54:90:ce:d1,-89,victoria,11
03/12/2017 08:39,35.2120639949368,32.10576014795497,690.4608693475203,1c:b9:c4:16:cd:18,-75,IT-MNG,1
03/12/2017 08:45,35.21005988,32.10474846,687.0,1c:b9:c4:15:25:4c,-87,Ariel_University,44
03/12/2017 08:39,35.21207188,32.10578181,690.5323471,f8:e7:1e:33:87:3c,-86,Police_Shomron ,36
03/12/2017 08:39,35.21192983,32.10544864,691.5885471,1c:b9:c4:15:3a:28,-87,Ariel_University,1
03/12/2017 08:38,35.20818645055072,32.1036511338293,693.5284770476242,00:25:86:cc:00:f8,-74,AUC_54_R,5
03/12/2017 08:42,35.21056381,32.10406542,697.5076284,24:79:2a:2b:24:9c,-87,Ariel_University,36
03/12/2017 08:42,35.21118934,32.10421175,697.9876833,1c:b9:c4:94:36:f7,-89, ,36
03/12/2017 08:39,35.21178481,32.10521012,692.3377116,8c:0c:90:af:76:53,-90, ,6
03/12/2017 08:37,35.20726399,32.1025333,699.2877605,34:0b:01:19:21:42,-91,afikim-wifi,7
03/12/2017 08:45,35.20991503270077,32.104693373032646,701.7923476408417,1c:b9:c4:15:25:48,-72,Ariel_University,1
03/12/2017 09:05,35.20975755340407,32.10331055686495,703.9414788229467,1c:b9:c4:16:f1:5c,-77,Ariel_University,52
03/12/2017 09:03,35.20972455903491,32.1032160022164,701.9403365439249,1c:b9:c4:16:f1:58,-72,Ariel_University,6
03/12/2017 08:54,35.209515434385686,32.10203099153584,699.4327820448618,1c:b9:c4:15:3a:38,-74,Ariel_University,11
03/12/2017 08:46,35.20883676497095,32.10238354298297,689.4879837412518,48:ee:0c:3e:86:dd,-85,tachlit3,7
03/12/2017 08:39,35.21187488,32.10533815,692.0554072,24:79:2a:2b:34:a8,-92,Ariel_University,11
03/12/2017 08:53,35.21012315,32.10481856,726.1049343,24:c9:a1:36:52:d8,-90,Ariel_University,1
03/12/2017 08:45,35.20959198230233,32.104772098926865,689.4143707177218,f8:e9:03:12:ef:3b,-67,ShapeDo,6
03/12/2017 08:45,35.20967931547516,32.10456801264497,689.8684136392158,f8:e9:03:12:ef:3c,-75,ShapeDo-5GHz,60
03/12/2017 08:42,35.2112795713649,32.10451988370635,694.648280999288,1c:b9:c4:14:36:f8,-78,Ariel_University,6
